Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
184;0.148;181.164;111.566;67.244;84.182;0;107.959;128.024;63.864;175.251;83.786;400.541;637.758
185;0;180.894;111.592;67.328;84.337;0.261;107.938;128.411;64.629;175.961;84.543;401.698;640.494
186;0;180.822;111.712;67.834;84.394;0.428;108.425;129.449;65.617;176.663;85.097;403.497;642.332
187;0;180.672;111.981;68.044;84.386;0.557;108.894;130.47;66.247;177.354;85.574;404.493;644.969
188;0;180.738;112.294;68.587;84.564;0.687;109.376;131.52;67.219;178.054;86.212;405.448;646.612
189;0;180.994;112.466;69.029;84.893;1.264;109.782;131.886;153.829;178.395;86.935;406.469;648.264
190;0;181.023;112.595;69.464;84.831;2.021;110.13;132.158;155.314;180.055;87.712;407.821;650.083
191;0;180.839;112.528;69.828;84.565;2.387;110.293;132.677;156.312;180.566;88.798;409.046;651.849
192;0;180.81;112.678;155.262;84.613;2.87;110.553;133.222;157.165;181.465;89.603;410.453;655.109
193;0;180.685;112.66;156.366;84.681;3.217;110.886;133.738;157.973;181.937;90.673;412.027;657.182
194;0;180.542;112.595;157.09;84.606;3.446;111.241;134.601;158.224;182.407;91.339;412.908;660.274
195;0;180.455;112.505;157.701;85.123;89.529;111.294;134.549;158.574;269.38;91.76;413.498;662.775
196;0;180.427;112.485;158.368;85.417;90.062;111.463;134.808;159.395;271.108;92.435;414.521;664.595
197;0;180.518;112.727;158.86;85.951;90.48;111.813;221.75;159.827;272.178;93.688;415.488;667.047
198;0;180.522;112.82;159.74;86.195;90.894;112.175;222.531;160.221;273.006;94.599;416.358;668.906
199;0;180.451;113.046;159.895;86.538;91.16;112.414;222.961;160.512;273.926;95.517;504.814;670.675
200;0;180.43;113.149;160.235;86.451;91.412;112.741;223.534;161.101;274.358;96.482;506.682;673.089
201;0;180.399;113.192;160.514;86.387;91.756;113.026;223.843;161.477;274.678;97.311;508.125;674.743
202;0;180.296;113.467;161.069;86.776;92.241;113.702;224.413;162.038;275.27;98.536;509.399;677.04
203;0;180.294;113.69;161.422;86.904;92.976;114.053;224.904;162.771;276.079;99.504;511.211;679.374
204;0;180.018;113.916;161.855;86.956;93.234;114.249;225.324;163.468;276.601;100.406;512.175;681.258
205;0;179.795;113.995;162.202;87.046;93.336;114.376;225.814;163.923;277.333;101.15;512.595;682.882
206;0;179.599;114.112;162.403;86.98;93.836;114.541;226.827;164.511;278.154;101.816;513.039;685.078
207;0;179.694;114.393;162.844;87.425;94.15;114.724;227.258;165.075;278.402;102.327;514.774;687.757
208;0;180.246;114.473;163.251;87.338;94.218;114.702;227.646;165.497;278.993;102.793;515.164;778.118
209;0;180.237;114.448;163.573;87.091;94.467;114.733;227.804;165.976;279.537;103.51;515.705;781.701
210;0;180.322;114.533;164.088;87.9;94.972;114.93;227.997;166.439;279.857;104.496;516.589;783.768
211;0;180.39;115.05;164.985;88.14;95.361;115.234;228.416;167.094;280.586;105.492;517.508;785.574
212;0;180.267;115.03;165.33;87.883;95.398;115.194;228.619;167.544;281.138;106.136;518.256;787.39
213;0;266.032;115.214;166.049;87.942;95.814;201.257;229.004;168.037;281.841;192.675;519.459;789.638
214;0;266.099;201.409;252.557;174.342;95.96;288.612;229.122;254.497;282.591;194.687;519.778;792.694
