Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
173;0;48.296;42.483;60.181;81.865;91.554;137.012;141.925;168.272;180.497;218.27;338.356;398.682;532.258
174;0;46.009;41.602;60.735;81.01;90.014;135.603;140.103;166.962;180.821;217.63;338.408;397.735;532.163
175;0;44.73;42.322;61.441;81.264;89.353;135.412;139.787;166.714;181.33;218.358;339.754;397.649;532.969
176;0;44.773;43.775;63.294;82.649;90.71;134.556;140.877;167.821;182.666;221.279;342.654;399.181;
177;0;41.481;42.263;61.829;81.177;87.17;133.893;138.585;165.631;180.4;219.451;342.483;397.186;
178;0;39.114;42.932;64.22;81.966;89.26;134.167;138.208;165.773;180.709;220.347;344.93;;
179;0;38.842;42.283;63.816;81.163;88.935;133.242;136.701;164.829;179.546;219.663;;;
180;0;38.47;42.455;64.34;81.29;89.528;132.918;135.821;164.262;179.054;;;;
181;0;38.026;43.004;64.835;81.411;89.774;132.51;135.091;;;;;;
182;0;37.942;43.691;64.869;;;;;;;;;;
