Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
142;46.4;46.632;46.473;47.398;46.635;47.809;46.701;46.833;47.815;47.212;47.456;48.063;48.846
143;46.349;46.708;46.287;46.699;46.802;47.036;46.866;47.148;47.707;134.09;47.108;48.33;48.405
144;46.273;46.618;46.206;46.51;46.564;46.739;132.416;47.188;47.059;48.335;47.226;47.693;47.658
145;46.452;46.703;132.095;46.434;46.309;46.828;47.404;47.128;46.974;47.235;133.036;47.643;48.122
146;46.338;46.508;47.948;46.249;132.799;46.888;46.68;46.858;47.35;47.281;47.951;48.035;48.595
147;46.246;132.394;47.344;46.302;47.629;46.693;46.665;47.223;46.842;46.839;47.839;47.555;48.577
148;46.364;46.816;46.909;46.264;47.249;46.675;46.524;47.065;46.915;47.039;47.536;47.584;48.411
149;46.276;46.34;46.674;46.392;46.903;46.708;46.402;47.001;46.688;47.237;47.441;47.396;48.105
150;46.176;46.336;46.69;46.342;47.02;46.999;46.497;47.444;47.296;47.192;47.301;49.684;48.231
151;46.316;46.3;46.516;46.35;46.776;46.693;46.44;47.58;46.656;47.298;47.569;47.117;48.229
152;46.265;46.271;46.601;46.086;47.078;46.699;46.392;47.196;46.515;47.554;47.427;47.594;48.041
153;46.174;46.196;46.626;46.284;46.857;46.49;46.609;46.675;46.717;47.144;47.693;47.247;48.974
154;46.205;46.271;46.576;46.275;46.886;46.624;46.851;46.762;46.52;46.821;47.022;47.751;48.273
155;46.605;46.269;46.57;46.274;133.735;46.52;46.554;47.077;46.593;46.848;47.118;47.873;48.337
156;46.444;46.194;46.543;46.357;47.662;46.584;46.444;46.899;46.429;47.052;47.221;47.749;48.434
157;46.305;46.184;46.586;46.31;46.818;46.66;46.461;47.666;46.395;46.967;46.98;136.996;48.969
158;46.285;46.311;46.53;46.371;46.836;46.61;46.531;46.838;46.64;46.854;47.138;49.021;47.735
159;46.306;46.208;46.541;46.261;47.045;46.828;46.583;134.088;46.567;47.133;47.197;48.011;49.274
160;46.301;46.149;46.641;46.398;46.905;46.822;46.483;47.479;46.579;47.376;47.382;48.094;137.117
