Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
169;64.285;64.307;64.178;64.265;64.737;64.813;64.861;64.561;65.156;64.834;64.858;64.785;65.149;65.182;65.009;64.727;199.319;64.756;197.466;66.022;199.354;17.782;66.133;65.301;66.952;66.211;202.392;65.227;66.847;
170;64.622;64.632;64.917;64.708;17.547;17.321;64.683;64.332;65.28;17.313;17.636;17.292;17.388;65.261;64.882;65.062;65.194;64.829;65.267;65.939;65.665;199.596;67.095;65.303;67.449;66.299;67.139;18.013;67.684;
171;64.401;64.349;64.569;64.626;198.769;198.554;64.667;64.138;65.352;198.83;198.015;199.283;198.703;65.111;64.741;17.684;64.984;64.885;65.241;65.712;65.912;65.855;67.242;65.413;66.033;18.336;67.028;201.891;66.6;
172;17.228;17.352;64.347;64.389;65.516;65.613;17.457;64.343;18.04;65.552;64.917;65.647;65.663;17.435;65.396;198.88;64.927;64.942;65.27;65.575;65.13;65.65;66.312;17.609;67.541;197.982;66.643;66.578;66.795;
173;198.71;199.131;64.39;64.366;64.921;64.858;198.716;64.317;199.368;65.782;65.171;65.697;65.537;199.608;64.744;65.044;65.092;65.004;65.047;65.469;64.897;65.259;65.662;198.53;65.731;65.454;66.465;66.251;18.213;
174;65.017;64.525;17.175;17.268;64.865;64.822;64.555;64.122;65.156;65.365;65.077;65.235;65.692;65.458;65.407;65.009;65.151;64.71;65.298;65.549;65.185;65.704;65.546;64.988;65.958;65.597;66.361;65.839;182.14;
175;64.571;64.698;198.336;198.245;64.673;64.831;64.647;64.205;64.805;65.249;65.029;65.155;65.474;65.05;17.167;64.806;65.075;65.223;64.709;65.293;65.148;65.575;65.591;64.5;66.623;65.003;67.199;66.003;68.207;
176;64.425;64.226;65.023;65.007;17.318;64.615;64.611;64.147;64.456;64.98;65.504;17.592;17.697;64.899;198.831;64.972;64.714;65.132;65.52;65.256;65.661;65.072;66.265;64.704;65.932;64.902;66.262;65.976;68.968;
177;64.297;64.354;64.877;64.859;198.842;17.29;64.31;64.282;64.383;17.586;65.17;198.54;199.086;65.397;65.075;17.555;64.901;65.302;64.583;65.168;65.371;65.055;66.028;64.303;17.925;65.885;66.125;65.14;68.287;
178;17.029;16.991;64.498;64.558;65.315;199.002;64.289;64.231;64.178;199.004;17.876;65.006;65.142;65.144;64.77;199.067;64.591;65.127;64.562;65.693;65.028;65.14;65.288;64.349;199.173;64.748;66.474;66.032;67.569;
179;198.898;198.869;64.459;64.372;65.516;65.638;64.612;64.435;64.369;64.983;198.842;65.95;65.134;65.145;64.732;65.923;64.821;64.994;65.02;65.263;64.936;64.876;65.348;64.83;66.544;64.687;66.46;65.323;68.003;
180;64.972;65.081;64.387;64.383;64.952;65.024;64.47;64.493;17.173;64.701;65.382;65.058;64.875;65.234;64.459;65.794;64.744;65.054;64.351;65.398;67.744;18.314;65.775;64.675;65.804;64.981;66.5;65.233;66.677;
181;64.461;64.321;64.139;64.186;65.434;65.311;64.527;64.318;199.617;64.74;65.211;64.907;65.103;65.03;64.727;65.545;64.829;65.646;17.203;65.3;65.355;199.614;65.472;64.693;65.643;64.816;66.99;65.606;68.109;
182;64.274;64.277;64.364;64.302;17.335;65.114;17.304;64.434;65.872;64.458;65.205;65.131;65.014;65.079;64.357;65.528;17.38;17.471;199.753;17.685;65.348;66.157;65.597;64.527;65.759;64.883;66.551;65.637;66.549;
183;64.059;64.068;64.271;64.339;198.661;17.53;199.062;64.399;65.296;17.353;65.927;17.408;64.987;17.565;64.448;17.67;198.611;198.637;66.299;200.008;65.233;65.941;65.627;64.7;65.96;64.892;65.932;66.232;18.389;
184;64.149;64.137;64.237;64.196;64.753;199.2;65.201;64.361;65.072;200.02;17.734;199.512;65.017;199.03;64.449;198.326;65.037;65.555;66.587;65.335;17.646;65.226;65.596;65.327;65.815;64.657;18.137;65.623;199.694;
185;17.063;17.231;64.193;64.506;64.703;65.071;65.11;64.421;64.783;67.037;198.049;65.116;17.539;65.09;64.839;65.251;65.323;65.576;66.075;65.235;199.726;65.323;65.325;64.752;65.496;65.301;198.287;65.679;65.524;
