Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
93;71.672;191.262;71.75;72.684;72.024;71.944;73.033;74.336;74.036;192.711;73.211;182.843;74.445;76.616
94;71.834;73.436;71.846;72.995;72.272;71.93;72.926;73.208;74.202;75.806;72.964;76.898;74.496;74.693
95;71.757;72.412;71.721;72.965;72.479;72.374;73.236;73.123;192.765;74.143;72.484;75.475;74.077;75.466
96;72.473;72.402;72.229;191.339;72.006;191.209;73.033;73.243;74.034;73.81;73.577;75.368;73.804;77.436
97;190.026;72.427;190.246;74.327;72.44;74.303;202.558;73.005;73.129;73.879;74.453;75.414;73.656;77.815
98;73.373;72.421;74.689;73.204;72.379;73.626;75.957;73.285;72.573;73.495;72.694;74.702;74.046;76.409
99;72.056;72.455;72.964;73.824;73.045;73.291;72.844;73.2;72.661;73.811;72.608;74.939;73.474;76.013
100;72.119;72.29;72.816;74.4;72.7;73.315;72.477;73.083;72.729;73.541;73.266;74.906;74.236;76.018
101;71.936;72.321;73.412;72.704;72.568;73.389;72.911;73.14;72.192;74.14;192.142;74.865;73.638;76.267
102;71.879;72.179;72.763;72.575;73.271;73.088;72.368;73.069;72.724;73.291;75.38;74.968;73.15;197.623
103;71.872;72.183;72.739;72.762;191.526;73.256;72.566;73.069;72.522;73.346;73.232;74.962;196.508;75.485
104;72.019;72.212;74.414;72.614;74.478;73.331;73.38;73.021;73.476;73.222;72.938;74.464;75.153;75.434
105;71.923;72.093;191.486;72.656;73.498;73.34;72.307;73.288;72.807;73.482;73.17;74.687;75.056;75.68
106;71.823;72.069;74.954;72.498;73.407;73.401;72.293;73.139;72.11;73.598;73.219;74.513;74.428;74.045
107;71.888;72.078;73.844;72.55;73.163;72.942;72.33;73.076;72.684;73.456;73.242;74.77;74.047;75.094
108;71.717;72.31;73.436;72.41;72.777;72.983;72.49;73.098;72.365;73.522;73.241;74.807;74.337;76.754
109;71.949;72.068;73.3;72.594;73.143;73.06;72.26;73.172;72.283;73.878;73.265;75.248;73.669;74.719
110;71.85;72.068;192.166;72.783;73.08;192.099;72.089;73.114;72.494;74.165;72.82;74.594;74.12;75.766
111;71.812;72.122;74.234;72.792;73.6;73.825;72.435;73.385;72.371;73.414;73.095;213.121;73.694;74.844
112;71.728;72.035;72.709;73.285;72.503;73.259;72.509;72.965;72.735;73.617;73.018;76.051;74.104;74.707
113;71.616;72.124;72.509;72.913;72.625;72.809;72.355;72.962;72.316;73.319;72.86;75.323;74.434;74.41
114;71.709;71.965;73.025;72.778;72.768;72.499;72.372;72.768;72.509;73.641;73.036;74.529;74.257;76.076
115;71.717;72.05;72.721;73.02;73.299;72.407;72.55;191.924;72.379;73.674;191.486;74.384;74.052;198.176
116;71.662;72.017;72.269;73.089;72.423;72.929;72.366;74.508;72.274;192.451;74.719;74.2;73.946;75.398
117;71.595;191.036;72.679;72.855;190.429;72.386;72.627;73.208;72.536;74.825;73.909;74.377;238.656;74.915
