Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
160;0;167.982;270.536;59.463;308.609;80.492;246.073;250.911;394.012;287.554;432.45;544.65;739.776;867.842
161;0;167.169;269.438;58.51;307.759;80.26;246.322;250.211;393.956;286.907;431.431;546.594;740.962;868.671
162;0;167.355;269.385;58.411;308.158;81.454;246.935;250.392;395.075;288.039;431.703;549.352;742.708;870.686
163;0;167.792;269.56;58.486;308.659;82.445;248.107;369.594;396.714;288.774;432.284;552.319;743.826;872.39
164;0;168.432;387.819;58.474;428.094;202.299;249.092;372.914;398.167;289.802;563.785;673.88;745.302;874.457
165;0;168.994;390.91;58.569;430.976;204.562;369.108;374.77;399.755;409.929;566.121;678.103;746.53;876.588
166;0;288.059;392.533;58.802;432.489;324.65;370.893;376.49;520.348;412.248;567.172;681.073;748.058;878.48
167;0;289.04;394.121;59.002;434.008;326.55;371.807;378.486;522.455;413.783;568.395;683.536;749.455;880.168
168;0;288.856;395.314;59.232;435.145;327.434;372.465;498.325;523.265;414.791;569.759;686.186;751.176;882.208
169;0;288.544;396.516;59.364;436.246;328.063;373.158;499.833;524.155;416.065;570.9;688.262;752.592;884.195
170;0;288.474;397.871;59.57;437.361;328.683;373.965;500.1;524.656;417.147;573.031;690.323;753.9;886.174
171;0;288.361;399.236;178.253;438.7;329.236;374.721;500.582;525.873;418.392;574.323;692.965;755.265;887.991
172;0;287.829;400.144;298.4;439.665;329.821;375.495;500.592;526.338;419.321;575.716;694.896;756.311;889.202
173;0;168.296;282.483;300.181;321.865;211.554;257.012;381.925;408.272;420.497;458.27;578.356;638.682;772.258
174;0;166.009;281.602;300.735;321.01;210.014;255.603;380.103;406.962;420.821;457.63;578.408;637.735;772.163
175;0;164.73;282.322;301.441;321.264;209.353;255.412;379.787;406.714;421.33;458.358;579.754;637.649;772.969
176;0;44.773;163.775;183.294;202.649;90.71;254.556;260.877;287.821;302.666;341.279;462.654;519.181;
177;0;41.481;162.263;181.829;201.177;207.17;253.893;258.585;285.631;300.4;339.451;462.483;517.186;
178;0;39.114;42.932;64.22;81.966;89.26;134.167;138.208;165.773;180.709;220.347;344.93;;
179;0;38.842;42.283;63.816;81.163;88.935;133.242;136.701;164.829;179.546;219.663;;;
180;0;38.47;42.455;64.34;81.29;89.528;132.918;135.821;164.262;179.054;;;;
181;0;38.026;43.004;64.835;81.411;89.774;132.51;135.091;;;;;;
182;0;37.942;43.691;64.869;;;;;;;;;;
